Country Name;Country code;Region code
Albania;ALB;ALB
Argentina;ARG;ARG
Armenia;ARM;ARM
Australia;AUS;AUS
Austria;AUT;AUT
Azerbaijan;AZE;AZE
Belgium;BEL;BEL
Bangladesh;BGD;BGD
Bulgaria;BGR;BGR
Belarus;BLR;BLR
Bolivia, Plurinational State of;BOL;BOL
Brazil;BRA;BRA
Botswana;BWA;BWA
Canada;CAN;CAN
Switzerland;CHE;CHE
Chile;CHL;CHL
China;CHN;CHN
Colombia;COL;COL
Costa Rica;CRI;CRI
Cyprus;CYP;CYP
Czech Republic;CZE;CZE
Germany;DEU;DEU
Denmark;DNK;DNK
Ecuador;ECU;ECU
Egypt;EGY;EGY
Spain;ESP;ESP
Estonia;EST;EST
Ethiopia;ETH;ETH
Finland;FIN;FIN
France;FRA;FRA
United Kingdom;GBR;GBR
Georgia;GEO;GEO
Greece;GRC;GRC
Guatemala;GTM;GTM
Hong Kong;HKG;HKG
Croatia;HRV;HRV
Hungary;HUN;HUN
Indonesia;IDN;IDN
India;IND;IND
Ireland;IRL;IRL
Iran, Islamic Republic of;IRN;IRN
Italy;ITA;ITA
Japan;JPN;JPN
Kazakhstan;KAZ;KAZ
Kyrgyzstan;KGZ;KGZ
Cambodia;KHM;KHM
Korea, Republic of;KOR;KOR
Lao People's Democratic Republic;LAO;LAO
Sri Lanka;LKA;LKA
Lithuania;LTU;LTU
Luxembourg;LUX;LUX
Latvia;LVA;LVA
Morocco;MAR;MAR
Madagascar;MDG;MDG
Mexico;MEX;MEX
Malta;MLT;MLT
Myanmar;MMR;XSE
Mozambique;MOZ;MOZ
Mauritius;MUS;MUS
Malawi;MWI;MWI
Malaysia;MYS;MYS
Nigeria;NGA;NGA
Nicaragua;NIC;NIC
Netherlands;NLD;NLD
Norway;NOR;NOR
Svalbard and Jan Mayen;SJM;NOR
New Zealand;NZL;NZL
Pakistan;PAK;PAK
Panama;PAN;PAN
Peru;PER;PER
Philippines;PHL;PHL
Poland;POL;POL
Portugal;PRT;PRT
Paraguay;PRY;PRY
Romania;ROU;ROU
Russian Federation;RUS;RUS
Senegal;SEN;SEN
Singapore;SGP;SGP
Slovakia;SVK;SVK
Slovenia;SVN;SVN
Sweden;SWE;SWE
Thailand;THA;THA
Tunisia;TUN;TUN
Turkey;TUR;TUR
Taiwan, Province of China;TWN;TWN
Tanzania, United Republic of;TZA;TZA
Uganda;UGA;UGA
Ukraine;UKR;UKR
Uruguay;URY;URY
United States;USA;USA
Venezuela, Bolivarian Republic of;VEN;VEN
Viet Nam;VNM;VNM
Angola;AGO;XAC
Congo, the Democratic Republic of the;COD;XAC
Belize;BLZ;XCA
El Salvador;SLV;SLV
Honduras;HND;HND
Anguilla;AIA;XCB
Antigua and Barbuda;ATG;XCB
Aruba;ABW;XCB
Bahamas;BHS;XCB
Barbados;BRB;XCB
Cayman Islands;CYM;XCB
Cuba;CUB;XCB
Dominica;DMA;XCB
Dominican Republic;DOM;XCB
Grenada;GRD;XCB
Guadeloupe;GLP;FRA
Haiti;HTI;XCB
Jamaica;JAM;XCB
Martinique;MTQ;FRA
Montserrat;MSR;XCB
Puerto Rico;PRI;XCB
Saint Kitts and Nevis;KNA;XCB
Saint Lucia;LCA;XCB
Saint Vincent and the Grenadines;VCT;XCB
Trinidad and Tobago;TTO;XCB
Turks and Caicos Islands;TCA;XCB
Virgin Islands, British;VGB;XCB
Virgin Islands, U.S.;VIR;XCB
Bonaire, Sint Eustatius and Saba;BES;XCB
Curacao;CUW;XCB
Saint Martin (French part);MAF;XCB
Sint Maarten (Dutch part);SXM;XCB
Cameroon;CMR;CMR
Central African Republic;CAF;XCF
Chad;TCD;XCF
Congo;COG;XCF
Equatorial Guinea;GNQ;XCF
Gabon;GAB;XCF
Sao Tome and Principe;STP;XCF
Korea, Democratic People's Republic of;PRK;XEA
Macao;MAC;XEA
Mongolia;MNG;MNG
Burundi;BDI;XEC
Comoros;COM;XEC
Djibouti;DJI;XEC
Eritrea;ERI;XEC
Kenya;KEN;KEN
Mayotte;MYT;XEC
Reunion;REU;FRA
Rwanda;RWA;XEC
Seychelles;SYC;XEC
Somalia;SOM;XEC
Sudan;SDN;XEC
Moldova, Republic of;MDA;XEE
Iceland;ISL;XEF
Liechtenstein;LIE;XEF
Aland Islands;ALA;FIN
Saint Barthelemy;BLM;XEF
Faroe Islands;FRO;XER
Gibraltar;GIB;XER
Guernsey;GGY;XER
Holy See (Vatican City State);VAT;XER
Isle of Man;IMN;XER
Jersey;JEY;XER
Macedonia, the former Yugoslav Republic of;MKD;XER
Monaco;MCO;XER
Montenegro;MNE;XER
San Marino;SMR;XER
Serbia;SRB;XER
Andorra;AND;XER
Bosnia and Herzegovina;BIH;XER
Bermuda;BMU;XNA
Greenland;GRL;XNA
Saint Pierre and Miquelon;SPM;XNA
Algeria;DZA;XNF
Libya;LBY;XNF
Western Sahara;ESH;XNF
Cook Islands;COK;XOC
Fiji;FJI;XOC
French Polynesia;PYF;XOC
Guam;GUM;XOC
Kiribati;KIR;XOC
Marshall Islands;MHL;XOC
Micronesia, Federated States of;FSM;XOC
Nauru;NRU;XOC
New Caledonia;NCL;XOC
Niue;NIU;XOC
Northern Mariana Islands;MNP;XOC
Palau;PLW;XOC
Papua New Guinea;PNG;XOC
Pitcairn;PCN;XOC
Samoa;WSM;XOC
Solomon Islands;SLB;XOC
Tokelau;TKL;XOC
Tonga;TON;XOC
Tuvalu;TUV;XOC
United States Minor Outlying Islands;UMI;XOC
Vanuatu;VUT;XOC
Wallis and Futuna;WLF;XOC
American Samoa;ASM;XOC
Afghanistan;AFG;XSA
Bhutan;BTN;XSA
Maldives;MDV;XSA
Nepal;NPL;NPL
Lesotho;LSO;XSC
Namibia;NAM;NAM
Swaziland;SWZ;XSC
Brunei Darussalam;BRN;XSE
Timor-Leste;TLS;XSE
Falkland Islands (Malvinas);FLK;XSM
French Guiana;GUF;XSM
Guyana;GUY;XSM
South Georgia and the South Sandwich Islands;SGS;XSM
Suriname;SUR;XSM
Tajikistan;TJK;XSU
Turkmenistan;TKM;XSU
Uzbekistan;UZB;XSU
Benin;BEN;XWF
Burkina Faso;BFA;XWF
Cape Verde;CPV;XWF
Cote d Ivoire;CIV;CIV
Gambia;GMB;XWF
Ghana;GHA;GHA
Guinea;GIN;XWF
Guinea-Bissau;GNB;XWF
Liberia;LBR;XWF
Mali;MLI;XWF
Mauritania;MRT;XWF
Niger;NER;XWF
Saint Helena, Ascension and Tristan da Cunha;SHN;XWF
Sierra Leone;SLE;XWF
Togo;TGO;XWF
Bahrain;BHR;BHR
Iraq;IRQ;XWS
Israel;ISR;ISR
Jordan;JOR;XWS
Kuwait;KWT;KWT
Lebanon;LBN;XWS
Oman;OMN;OMN
