"Region_name","ISO3 code"
"S & C America","ABW"
"Asia Pacific","AFG"
"Africa","AGO"
"Europe","ALB"
"Middle East","ARE"
"S & C America","ARG"
"CIS","ARM"
"Asia Pacific","ATA"
"S & C America","ATG"
"Asia Pacific","AUS"
"Europe","AUT"
"CIS","AZE"
"Africa","BDI"
"Europe","BEL"
"Africa","BEN"
"Africa","BFA"
"Asia Pacific","BGD"
"Europe","BGR"
"Middle East","BHR"
"S & C America","BHS"
"Europe","BIH"
"S & C America","BLM"
"CIS","BLR"
"S & C America","BLZ"
"S & C America","BOL"
"S & C America","BRA"
"S & C America","BRB"
"Asia Pacific","BRN"
"Asia Pacific","BTN"
"Africa","BWA"
"Africa","CAF"
"Asia Pacific","CCK"
"Europe","CHE"
"S & C America","CHL"
"Asia Pacific","CHN"
"Africa","CIV"
"Africa","CMR"
"Africa","COD"
"Africa","COG"
"Asia Pacific","COK"
"S & C America","COL"
"Africa","COM"
"Africa","CPV"
"S & C America","CRI"
"S & C America","CUB"
"Asia Pacific","CXR"
"S & C America","CYM"
"Europe","CYP"
"Europe","CZE"
"Europe","DEU"
"Africa","DJI"
"S & C America","DMA"
"Europe","DNK"
"S & C America","DOM"
"Africa","DZA"
"S & C America","ECU"
"Africa","EGY"
"Africa","ERI"
"Europe","ESP"
"Europe","EST"
"Africa","ETH"
"Europe","FIN"
"Asia Pacific","FJI"
"Europe","FRA"
"Asia Pacific","FSM"
"Africa","GAB"
"Europe","GBR"
"Europe","GEO"
"Africa","GHA"
"Europe","GIB"
"Africa","GIN"
"S & C America","GLP"
"Africa","GMB"
"Africa","GNB"
"Africa","GNQ"
"Europe","GRC"
"S & C America","GRD"
"S & C America","GTM"
"S & C America","GUF"
"S & C America","GUY"
"Asia Pacific","HKG"
"Asia Pacific","HMD"
"S & C America","HND"
"Europe","HRV"
"S & C America","HTI"
"Europe","HUN"
"Asia Pacific","IDN"
"Asia Pacific","IND"
"Europe","IRL"
"Middle East","IRN"
"Middle East","IRQ"
"Europe","ISL"
"Middle East","ISR"
"Europe","ITA"
"S & C America","JAM"
"Middle East","JOR"
"Asia Pacific","JPN"
"CIS","KAZ"
"Africa","KEN"
"CIS","KGZ"
"Asia Pacific","KHM"
"Asia Pacific","KIR"
"S & C America","KNA"
"Asia Pacific","KOR"
"Middle East","KWT"
"Asia Pacific","LAO"
"Middle East","LBN"
"Africa","LBR"
"Africa","LBY"
"S & C America","LCA"
"Asia Pacific","LKA"
"Africa","LSO"
"Europe","LTU"
"Europe","LUX"
"Europe","LVA"
"Asia Pacific","MAC"
"Africa","MAR"
"CIS","MDA"
"Africa","MDG"
"Asia Pacific","MDV"
"Asia Pacific","MHL"
"Europe","MKD"
"Africa","MLI"
"Europe","MLT"
"Asia Pacific","MMR"
"Europe","MNE"
"Asia Pacific","MNG"
"Africa","MOZ"
"Africa","MRT"
"S & C America","MTQ"
"Africa","MUS"
"Africa","MWI"
"Asia Pacific","MYS"
"Africa","NAM"
"Africa","NER"
"Asia Pacific","NFK"
"Africa","NGA"
"S & C America","NIC"
"Asia Pacific","NIU"
"Europe","NLD"
"Europe","NOR"
"Asia Pacific","NPL"
"Asia Pacific","NRU"
"Asia Pacific","NZL"
"Middle East","OMN"
"Asia Pacific","PAK"
"S & C America","PAN"
"S & C America","PER"
"Asia Pacific","PHL"
"Asia Pacific","PLW"
"Asia Pacific","PNG"
"Europe","POL"
"S & C America","PRI"
"Asia Pacific","PRK"
"Europe","PRT"
"S & C America","PRY"
"Asia Pacific","PSE"
"Middle East","QAT"
"Europe","ROU"
"CIS","RUS"
"Africa","RWA"
"Middle East","SAU"
"Africa","SDN"
"Africa","SEN"
"Asia Pacific","SGP"
"Asia Pacific","SLB"
"Africa","SLE"
"S & C America","SLV"
"Africa","SOM"
"Europe","SRB"
"Africa","STP"
"Europe","SUN"
"S & C America","SUR"
"Europe","SVK"
"Europe","SVN"
"Europe","SWE"
"Africa","SWZ"
"Africa","SYC"
"Middle East","SYR"
"S & C America","TCA"
"Africa","TCD"
"Africa","TGO"
"Asia Pacific","THA"
"CIS","TJK"
"Asia Pacific","TKL"
"CIS","TKM"
"Asia Pacific","TLS"
"Asia Pacific","TON"
"S & C America","TTO"
"Africa","TUN"
"Europe","TUR"
"Asia Pacific","TUV"
"Asia Pacific","TWN"
"Africa","TZA"
"Africa","UGA"
"CIS","UKR"
"S & C America","URY"
"CIS","UZB"
"S & C America","VCT"
"S & C America","VEN"
"S & C America","VGB"
"Asia Pacific","VNM"
"Asia Pacific","VUT"
"Asia Pacific","WSM"
"Asia Pacific","YEM"
"Africa","ZAF"
"Africa","ZMB"
"Africa","ZWE"
"North America","USA"
"North America","CAN"
"North America","MEX"
